Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Gift Card,SEO Title,SEO Description,Status
signature-d-kurd-10,D Kurd 10,"<p>A versatile D minor world with immediate emotional access. The D Kurd 10 gives the player a stable centre, strong melodic movement and enough harmonic depth for meditation, songwriting and live performance.</p><ul><li><strong>Scale:</strong> D Kurd 10</li><li><strong>Notes:</strong> 10</li><li><strong>Element:</strong> Fire</li><li><strong>Level:</strong> Beginner to Professional</li><li><strong>Mood:</strong> Grounded, Emotional, Warm, Direct</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Fire, Scale: D Kurd, Beginner, Professional, Grounded, Emotional, Warm, Direct",TRUE,Title,Default Title,EH-SIG-D-KURD-10,4500,,continue,manual,1300,TRUE,TRUE,kg,FALSE,D Kurd 10 Handpan — Elements Signature Series,"D Kurd 10 — Grounded, Emotional, Warm, Direct. Beginner to Professional. Signature Series handpan by Elements, EUR 1300.",active
signature-d-kurd-12,D Kurd 12,"<p>The extended D Kurd 12 keeps the familiar emotional language of D minor while opening more melodic routes in the upper register. Forgiving for beginners and spacious for experienced improvisation.</p><ul><li><strong>Scale:</strong> D Kurd 12</li><li><strong>Notes:</strong> 12</li><li><strong>Element:</strong> Fire</li><li><strong>Level:</strong> Beginner to Professional</li><li><strong>Mood:</strong> Expressive, Stable, Warm, Melodic</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Fire, Scale: D Kurd, Beginner, Professional, Expressive, Stable, Warm, Melodic",TRUE,Title,Default Title,EH-SIG-D-KURD-12,4500,,continue,manual,1400,TRUE,TRUE,kg,FALSE,D Kurd 12 Handpan — Elements Signature Series,"D Kurd 12 — Expressive, Stable, Warm, Melodic. Beginner to Professional. Signature Series handpan by Elements, EUR 1400.",active
signature-g-minor-14,G Minor 14,"<p>A low, grounded minor instrument with a more physical bass presence than standard D-root pans. Suited to ritual intensity, weight and a strong emotional foundation with clear melodic paths.</p><ul><li><strong>Scale:</strong> G Minor 14</li><li><strong>Notes:</strong> 14</li><li><strong>Element:</strong> Earth</li><li><strong>Level:</strong> Intermediate to Professional</li><li><strong>Mood:</strong> Dark, Earthy, Powerful, Ceremonial</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Earth, Scale: G Minor, Intermediate, Professional, Dark, Earthy, Powerful, Ceremonial",TRUE,Title,Default Title,EH-SIG-G-MINOR-14,4500,,continue,manual,3000,TRUE,TRUE,kg,FALSE,G Minor 14 Handpan — Elements Signature Series,"G Minor 14 — Dark, Earthy, Powerful, Ceremonial. Intermediate to Professional. Signature Series handpan by Elements, EUR 3000.",active
signature-c-minor-15,C Minor 15,"<p>A broad C minor soundscape designed for inner work, ambient composition and deep listening. The extended range creates a wide emotional arc from shadowed bass tones into clear upper melodies.</p><ul><li><strong>Scale:</strong> C Minor 15</li><li><strong>Notes:</strong> 15</li><li><strong>Element:</strong> Space / Ether</li><li><strong>Level:</strong> Intermediate to Professional</li><li><strong>Mood:</strong> Mystical, Contemplative, Deep, Spacious</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Space / Ether, Scale: C Minor, Intermediate, Professional, Mystical, Contemplative, Deep, Spacious",TRUE,Title,Default Title,EH-SIG-C-MINOR-15,4500,,continue,manual,2800,TRUE,TRUE,kg,FALSE,C Minor 15 Handpan — Elements Signature Series,"C Minor 15 — Mystical, Contemplative, Deep, Spacious. Intermediate to Professional. Signature Series handpan by Elements, EUR 2800.",active
signature-d-aegean-10,D Aegean 10,"<p>D Aegean offers a luminous alternative to darker minor scales. Its open Lydian colour gives a floating, Mediterranean quality—excellent for peaceful improvisation and uplifting sound baths.</p><ul><li><strong>Scale:</strong> D Aegean 10</li><li><strong>Notes:</strong> 10</li><li><strong>Element:</strong> Water</li><li><strong>Level:</strong> Beginner to Intermediate</li><li><strong>Mood:</strong> Open, Bright, Flowing, Serene</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Water, Scale: D Aegean, Beginner, Intermediate, Open, Bright, Flowing, Serene",TRUE,Title,Default Title,EH-SIG-D-AEGEAN-10,4500,,continue,manual,1300,TRUE,TRUE,kg,FALSE,D Aegean 10 Handpan — Elements Signature Series,"D Aegean 10 — Open, Bright, Flowing, Serene. Beginner to Intermediate. Signature Series handpan by Elements, EUR 1300.",active
signature-f-sharp-nordlys-14,F# Nordlys 14,"<p>Nordlys has a rare northern-light character: spacious, glassy and slightly mysterious. Built for cinematic ambience, experimental melody and a sound beyond the standard handpan vocabulary.</p><ul><li><strong>Scale:</strong> F# Nordlys 14</li><li><strong>Notes:</strong> 14</li><li><strong>Element:</strong> Space / Ether</li><li><strong>Level:</strong> Advanced</li><li><strong>Mood:</strong> Cosmic, Rare, Suspended, Cinematic</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Space / Ether, Scale: F# Nordlys, Advanced, Cosmic, Rare, Suspended, Cinematic",TRUE,Title,Default Title,EH-SIG-F-SHARP-NORDLYS-14,4500,,continue,manual,3400,TRUE,TRUE,kg,FALSE,F# Nordlys 14 Handpan — Elements Signature Series,"F# Nordlys 14 — Cosmic, Rare, Suspended, Cinematic. Advanced. Signature Series handpan by Elements, EUR 3400.",active
signature-f-sharp-low-pygmy-18,F# Low Pygmy 18,"<p>F# Low Pygmy expands the classic pentatonic feeling into a much wider field, allowing hypnotic ostinatos, long floating melodies and deep harmonic movement without becoming heavy.</p><ul><li><strong>Scale:</strong> F# Low Pygmy 18</li><li><strong>Notes:</strong> 18</li><li><strong>Element:</strong> Air</li><li><strong>Level:</strong> Intermediate to Professional</li><li><strong>Mood:</strong> Floating, Ancient, Hypnotic, Emotional</li><li><strong>Series:</strong> Signature Series — crafted by Amir Raga · Iran</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> High-grade stainless steel</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Signature Series, Element: Air, Scale: F# Low Pygmy, Intermediate, Professional, Floating, Ancient, Hypnotic, Emotional",TRUE,Title,Default Title,EH-SIG-F-SHARP-LOW-PYGMY-18,4500,,continue,manual,3400,TRUE,TRUE,kg,FALSE,F# Low Pygmy 18 Handpan — Elements Signature Series,"F# Low Pygmy 18 — Floating, Ancient, Hypnotic, Emotional. Intermediate to Professional. Signature Series handpan by Elements, EUR 3400.",active
origins-d-kurd-10,D Kurd 10,"<p>The Origins D Kurd 10 is the accessible foundation of the collection. Classic emotional pull of D minor with simple navigation—a strong choice for teaching, first-time buyers and daily practice.</p><ul><li><strong>Scale:</strong> D Kurd 10</li><li><strong>Notes:</strong> 10</li><li><strong>Element:</strong> Fire</li><li><strong>Level:</strong> Beginner to Professional</li><li><strong>Mood:</strong> Grounded, Emotional, Direct, Warm</li><li><strong>Series:</strong> Origins — crafted by Xi · China</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> Stainless steel (final supplier grade to confirm)</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Origins, Element: Fire, Scale: D Kurd, Beginner, Professional, Grounded, Emotional, Direct, Warm",TRUE,Title,Default Title,EH-ORIG-D-KURD-10,4500,,continue,manual,1200,TRUE,TRUE,kg,FALSE,D Kurd 10 Handpan — Elements Origins,"D Kurd 10 — Grounded, Emotional, Direct, Warm. Beginner to Professional. Origins handpan by Elements, EUR 1200.",active
origins-d-kurd-18,D Kurd 18,"<p>A full extended D Kurd for players who want the classic minor language with a wider performance range. Bottom tones add body and grounding; upper notes give more melodic completion.</p><ul><li><strong>Scale:</strong> D Kurd 18</li><li><strong>Notes:</strong> 18</li><li><strong>Element:</strong> Fire</li><li><strong>Level:</strong> Intermediate to Professional</li><li><strong>Mood:</strong> Rich, Expressive, Grounded, Expansive</li><li><strong>Series:</strong> Origins — crafted by Xi · China</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> Stainless steel (final supplier grade to confirm)</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Origins, Element: Fire, Scale: D Kurd, Intermediate, Professional, Rich, Expressive, Grounded, Expansive",TRUE,Title,Default Title,EH-ORIG-D-KURD-18,4500,,continue,manual,2800,TRUE,TRUE,kg,FALSE,D Kurd 18 Handpan — Elements Origins,"D Kurd 18 — Rich, Expressive, Grounded, Expansive. Intermediate to Professional. Origins handpan by Elements, EUR 2800.",active
origins-f-low-pygmy-16,F Low Pygmy 16,"<p>F Low Pygmy has a primal, earthy character with steady forward movement. Hypnotic quality that works especially well for trance-like playing, ceremony and deep meditative sound.</p><ul><li><strong>Scale:</strong> F Low Pygmy 16</li><li><strong>Notes:</strong> 16</li><li><strong>Element:</strong> Earth</li><li><strong>Level:</strong> Intermediate to Professional</li><li><strong>Mood:</strong> Earthy, Ancient, Hypnotic, Warm</li><li><strong>Series:</strong> Origins — crafted by Xi · China</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> Stainless steel (final supplier grade to confirm)</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Origins, Element: Earth, Scale: F Low Pygmy, Intermediate, Professional, Earthy, Ancient, Hypnotic, Warm",TRUE,Title,Default Title,EH-ORIG-F-LOW-PYGMY-16,4500,,continue,manual,3000,TRUE,TRUE,kg,FALSE,F Low Pygmy 16 Handpan — Elements Origins,"F Low Pygmy 16 — Earthy, Ancient, Hypnotic, Warm. Intermediate to Professional. Origins handpan by Elements, EUR 3000.",active
origins-d-aegean-18,D Aegean 18,"<p>The extended D Aegean is a wide, flowing instrument with an uplifting, almost oceanic quality. Bass extensions create a powerful foundation while upper notes keep the sound bright and open.</p><ul><li><strong>Scale:</strong> D Aegean 18</li><li><strong>Notes:</strong> 18</li><li><strong>Element:</strong> Water</li><li><strong>Level:</strong> Intermediate to Professional</li><li><strong>Mood:</strong> Luminous, Flowing, Open, Elegant</li><li><strong>Series:</strong> Origins — crafted by Xi · China</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> Stainless steel (final supplier grade to confirm)</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Origins, Element: Water, Scale: D Aegean, Intermediate, Professional, Luminous, Flowing, Open, Elegant",TRUE,Title,Default Title,EH-ORIG-D-AEGEAN-18,4500,,continue,manual,3000,TRUE,TRUE,kg,FALSE,D Aegean 18 Handpan — Elements Origins,"D Aegean 18 — Luminous, Flowing, Open, Elegant. Intermediate to Professional. Origins handpan by Elements, EUR 3000.",active
origins-f-sharp-nordlys-15,F# Nordlys 15,"<p>F# Nordlys 15 is for players who want a more unusual harmonic world. Airy and cosmic, with bass depth and upper shimmer—less standard song scale, more sonic environment.</p><ul><li><strong>Scale:</strong> F# Nordlys 15</li><li><strong>Notes:</strong> 15</li><li><strong>Element:</strong> Space / Ether</li><li><strong>Level:</strong> Advanced</li><li><strong>Mood:</strong> Northern, Celestial, Suspended, Rare</li><li><strong>Series:</strong> Origins — crafted by Xi · China</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> Stainless steel (final supplier grade to confirm)</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Origins, Element: Space / Ether, Scale: F# Nordlys, Advanced, Northern, Celestial, Suspended, Rare",TRUE,Title,Default Title,EH-ORIG-F-SHARP-NORDLYS-15,4500,,continue,manual,3000,TRUE,TRUE,kg,FALSE,F# Nordlys 15 Handpan — Elements Origins,"F# Nordlys 15 — Northern, Celestial, Suspended, Rare. Advanced. Origins handpan by Elements, EUR 3000.",active
origins-f-sharp-low-pygmy-21,F# Low Pygmy 21,"<p>A large-range F# Low Pygmy designed for serious exploration. Twenty-one notes give a full melodic landscape while keeping the ancient, hypnotic identity of the Pygmy family.</p><ul><li><strong>Scale:</strong> F# Low Pygmy 21</li><li><strong>Notes:</strong> 21</li><li><strong>Element:</strong> Air</li><li><strong>Level:</strong> Professional</li><li><strong>Mood:</strong> Immersive, Floating, Emotional, Infinite</li><li><strong>Series:</strong> Origins — crafted by Xi · China</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> Stainless steel (final supplier grade to confirm)</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Origins, Element: Air, Scale: F# Low Pygmy, Professional, Immersive, Floating, Emotional, Infinite",TRUE,Title,Default Title,EH-ORIG-F-SHARP-LOW-PYGMY-21,4500,,continue,manual,3000,TRUE,TRUE,kg,FALSE,F# Low Pygmy 21 Handpan — Elements Origins,"F# Low Pygmy 21 — Immersive, Floating, Emotional, Infinite. Professional. Origins handpan by Elements, EUR 3000.",active
origins-e-amara-20,E Amara 20,"<p>E Amara 20 is an expanded Celtic minor world that feels both emotional and accessible. Naturally song-like—friendly for voice, melody writing and teaching.</p><ul><li><strong>Scale:</strong> E Amara 20</li><li><strong>Notes:</strong> 20</li><li><strong>Element:</strong> Air</li><li><strong>Level:</strong> Intermediate to Professional</li><li><strong>Mood:</strong> Gentle, Uplifting, Emotional, Flowing</li><li><strong>Series:</strong> Origins — crafted by Xi · China</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> Stainless steel (final supplier grade to confirm)</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Origins, Element: Air, Scale: E Amara, Intermediate, Professional, Gentle, Uplifting, Emotional, Flowing",TRUE,Title,Default Title,EH-ORIG-E-AMARA-20,4500,,continue,manual,3000,TRUE,TRUE,kg,FALSE,E Amara 20 Handpan — Elements Origins,"E Amara 20 — Gentle, Uplifting, Emotional, Flowing. Intermediate to Professional. Origins handpan by Elements, EUR 3000.",active
origins-b2-mystic-9,B2 Mystic 9,"<p>B2 Mystic 9 is a compact low-register instrument with a deep, inward pull. Dark and focused without overwhelming—ideal for grounding rituals and intimate meditative settings.</p><ul><li><strong>Scale:</strong> B2 Mystic 9</li><li><strong>Notes:</strong> 9</li><li><strong>Element:</strong> Fire</li><li><strong>Level:</strong> Beginner to Intermediate</li><li><strong>Mood:</strong> Dark, Primal, Focused, Meditative</li><li><strong>Series:</strong> Origins — crafted by Xi · China</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> Stainless steel (final supplier grade to confirm)</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Origins, Element: Fire, Scale: B2 Mystic, Beginner, Intermediate, Dark, Primal, Focused, Meditative",TRUE,Title,Default Title,EH-ORIG-B2-MYSTIC-9,4500,,continue,manual,1200,TRUE,TRUE,kg,FALSE,B2 Mystic 9 Handpan — Elements Origins,"B2 Mystic 9 — Dark, Primal, Focused, Meditative. Beginner to Intermediate. Origins handpan by Elements, EUR 1200.",active
origins-d-ashakarian-16,D Ashakarian 16,"<p>D Ashakarian moves into a major, uplifting colour—open, optimistic and slightly emotional. Strong for breath-led playing, melodic storytelling and brighter ceremonial music.</p><ul><li><strong>Scale:</strong> D Ashakarian 16</li><li><strong>Notes:</strong> 16</li><li><strong>Element:</strong> Air</li><li><strong>Level:</strong> Intermediate to Professional</li><li><strong>Mood:</strong> Hopeful, Open, Bright, Uplifting</li><li><strong>Series:</strong> Origins — crafted by Xi · China</li><li><strong>Tuning:</strong> 440 Hz standard · 432 Hz on request</li><li><strong>Dimensions:</strong> Approx. 53 × 26 cm</li><li><strong>Weight:</strong> Approx. 4.5 kg</li><li><strong>Steel:</strong> Stainless steel (final supplier grade to confirm)</li><li><strong>Included:</strong> Elements softcase, 1-year warranty, pre-shipment inspection, tuning check and a free course bundle worth EUR 99 (Introduction to Handpan, 3 Patterns to Get You Flowing, Art of Improvisation).</li></ul>",Elements Handpans,Handpan,"Handpan, Origins, Element: Air, Scale: D Ashakarian, Intermediate, Professional, Hopeful, Open, Bright, Uplifting",TRUE,Title,Default Title,EH-ORIG-D-ASHAKARIAN-16,4500,,continue,manual,3000,TRUE,TRUE,kg,FALSE,D Ashakarian 16 Handpan — Elements Origins,"D Ashakarian 16 — Hopeful, Open, Bright, Uplifting. Intermediate to Professional. Origins handpan by Elements, EUR 3000.",active
elements-softcase,Elements Softcase,"<p>Included with every handpan purchase. Padded soft-case with reinforced base and backpack straps for daily carrying, storage and light transport.</p><ul><li><strong>Type:</strong> Included with every instrument</li><li><strong>Protection:</strong> Daily carrying, storage and light transport.</li><li><strong>Dimensions:</strong> 55 × 25 cm</li><li><strong>Weight:</strong> Approx. 1.4 kg</li></ul>",Elements Handpans,Case,"Case, Accessory, Included with every instrument",TRUE,Title,Default Title,EH-ACC-SOFTCASE,1400,,continue,manual,0,TRUE,TRUE,kg,FALSE,Elements Softcase — Elements Handpans,"Elements Softcase — Daily carrying, storage and light transport.",active
elements-origins-hardcase,Elements Origins Hardcase,"<p>Waterproof hardcase upgrade with airline-travel protection and backpack transport. Select at checkout when ordering your instrument.</p><ul><li><strong>Type:</strong> Upgrade</li><li><strong>Protection:</strong> Waterproof, airline-travel protection, backpack transport.</li><li><strong>Dimensions:</strong> 58 × 35 × 35 cm</li><li><strong>Weight:</strong> Approx. 3 kg</li></ul>",Elements Handpans,Case,"Case, Accessory, Upgrade",TRUE,Title,Default Title,EH-ACC-ORIGINS-HARDCASE,3000,,continue,manual,100,TRUE,TRUE,kg,FALSE,Elements Origins Hardcase — Elements Handpans,"Elements Origins Hardcase — Waterproof, airline-travel protection, backpack transport.",active
avaja-hardcase,Avaja Hardcase,"<p>Premium waterproof hardcase with airline-travel protection and reinforced exterior. Upgrade option for frequent travel.</p><ul><li><strong>Type:</strong> Upgrade</li><li><strong>Protection:</strong> Waterproof, airline-travel protection, premium exterior protection.</li><li><strong>Dimensions:</strong> 58 × 35 × 35 cm</li><li><strong>Weight:</strong> Approx. 3.2 kg</li></ul>",Elements Handpans,Case,"Case, Accessory, Upgrade",TRUE,Title,Default Title,EH-ACC-AVAJA-HARDCASE,3200,,continue,manual,150,TRUE,TRUE,kg,FALSE,Avaja Hardcase — Elements Handpans,"Avaja Hardcase — Waterproof, airline-travel protection, premium exterior protection.",active
hct-hardcase-technologies,HCT Hardcase Technologies,"<p>Maximum travel-focused protection—waterproof, airline-ready hardcase from HCT Hardcase Technologies. The top-tier upgrade for touring musicians.</p><ul><li><strong>Type:</strong> Upgrade</li><li><strong>Protection:</strong> Waterproof, airline-travel protection, maximum travel-focused protection.</li><li><strong>Dimensions:</strong> 58 × 35 × 35 cm</li><li><strong>Weight:</strong> Approx. 3.5 kg</li></ul>",Elements Handpans,Case,"Case, Accessory, Upgrade",TRUE,Title,Default Title,EH-ACC-HCT-HARDCASE,3500,,continue,manual,200,TRUE,TRUE,kg,FALSE,HCT Hardcase Technologies — Elements Handpans,"HCT Hardcase Technologies — Waterproof, airline-travel protection, maximum travel-focused protection.",active
